Feature,Coefficient,Std_Error,t_statistic,p_value
Intercept,41.919494690440025,0.3743376051436549,111.9831246298461,0.0
Hours_Studied,0.29316948328757736,0.004807851549476616,60.97723281815801,0.0
Attendance,0.19885315043433519,0.0025043649315954937,79.4026253624502,0.0
Sleep_Hours,-0.012516605187168154,0.019767972095251957,-0.6331759842060127,0.5266462694970095
Previous_Scores,0.0490038082663384,0.0020050409351501813,24.440303141575473,0.0
Tutoring_Sessions,0.5077436872234423,0.02334250929998088,21.7518896832509,0.0
Physical_Activity,0.19249655701745205,0.027949933715325,6.8871918974142625,6.357359083608571e-12
Parental_Involvement_Low,-2.0016837192219543,0.08359398796901413,-23.9453071668733,0.0
Parental_Involvement_Medium,-1.069448190195683,0.06714604149945565,-15.927196396296168,0.0
Access_to_Resources_Low,-2.1011502785735523,0.0835025285083191,-25.162714424440704,0.0
Access_to_Resources_Medium,-1.0315810635049767,0.06668786543016356,-15.468797161985377,0.0
Extracurricular_Activities_Yes,0.5832745694516475,0.058774345795373585,9.92396532123646,0.0
Motivation_Level_Low,-1.0438810278098734,0.08393907361883265,-12.436175225737387,0.0
Motivation_Level_Medium,-0.5531858777096019,0.07661160537416191,-7.22065377703428,5.910827383104333e-13
Internet_Access_Yes,0.9586650199027564,0.10750896648199211,8.917070373505396,0.0
Family_Income_Low,-1.1082912072280484,0.07993041711721925,-13.865700282818759,0.0
Family_Income_Medium,-0.6398667244635227,0.08011476150110527,-7.986876731258758,1.7763568394002505e-15
Teacher_Quality_Low,-1.0159587502825103,0.10630749512431385,-9.556793235457842,0.0
Teacher_Quality_Medium,-0.5561911093897469,0.06458859084889872,-8.611290354529084,0.0
School_Type_Public,0.017178880444151702,0.06269462458787028,0.27400882543087035,0.784088604897458
Peer_Influence_Neutral,0.5668981884885922,0.07837696347902828,7.232969527331586,5.404565683875262e-13
Peer_Influence_Positive,1.0516727250292797,0.07750757313767517,13.568644745994229,0.0
Learning_Disabilities_Yes,-0.8572119757565343,0.09214864026151781,-9.302491857978229,0.0
Parental_Education_Level_High School,-0.458899554494868,0.06662665306319572,-6.88762729923713,6.338041202980094e-12
Parental_Education_Level_Postgraduate,0.5147481829072331,0.08365917965542266,6.152919321315243,8.169807053093336e-10
Distance_from_Home_Moderate,0.3177329357941396,0.10447548766746229,3.0412199348182027,0.002367832405812509
Distance_from_Home_Near,0.8543360735151834,0.09792362714223624,8.724514179547713,0.0
Gender_Male,-0.025740693203552927,0.05830533095015471,-0.4414809552416172,0.6588830033421231
